text;success;reference;tags
bravo alpha november delta sierra;True;B A N D S;B A N D S
papa india charlie kilo sierra;True;P I C K S;P I C K S
whiskey hotel alpha tango echo victor echo romeo;True;W H A T E V E R;W H A T E V E R
foxtrot india x-ray echo delta;True;F I X E D;F I X E D
echo x-ray charlie echo lima;True;E X C E L;E X C E L
india november victor oscar lima victor echo delta;True;I N V O L V E D;I N V O L V E D
whiskey alpha tango charlie hotel;True;W A T C H;W A T C H
papa lima yankee whiskey oscar oscar delta;True;P L Y W O O D;P L Y W O O D
india delta oscar lima india zulu echo;True;I D O L I Z E;I D O L I Z E
echo mike bravo lima echo mike;True;E M B L E M;E M B L E M
hotel uniform mike oscar romeo;True;H U M O R;H U M O R
bravo uniform romeo november tango;True;B U R N T;B U R N T
sierra hotel romeo india mike papa;True;S H R I M P;S H R I M P
echo x-ray papa echo charlie tango sierra;True;E X P E C T S;E X P E C T S
oscar mike india tango tango india november golf;True;O M I T T I N G;O M I T T I N G
tango hotel uniform mike papa;True;T H U M P;T H U M P
papa romeo oscar mike papa tango lima yankee;True;P R O M P T L Y;P R O M P T L Y
papa echo tango tango yankee;True;P E T T Y;P E T T Y
lima oscar charlie kilo whiskey oscar oscar delta;True;L O C K W O O D;L O C K W O O D
alpha november yankee hotel oscar whiskey;True;A N Y H O W;A N Y H O W
whiskey india lima lima yankee;True;W I L L Y;W I L L Y
echo x-ray papa alpha november delta india november golf;True;E X P A N D I N G;E X P A N D I N G
charlie lima alpha mike papa;True;C L A M P;C L A M P
sierra uniform romeo victor india victor echo delta;True;S U R V I V E D;S U R V I V E D
uniform papa lima india foxtrot tango;True;U P L I F T;U P L I F T
uniform november papa alpha charlie kilo;True;U N P A C K;U N P A C K
bravo alpha charlie kilo golf romeo oscar uniform november delta;True;B A C K G R O U N D;B A C K G R O U N D
sierra alpha victor india november golf sierra;True;S A V I N G S;S A V I N G S
golf india foxtrot tango echo delta;True;G I F T E D;G I F T E D
whiskey hotel india charlie hotel;True;W H I C H;W H I C H
alpha november yankee whiskey alpha yankee sierra;True;A N Y W A Y S;A N Y W A Y S
tango echo x-ray tango sierra;True;T E X T S;T E X T S
